
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.01097,4.38867,6.625,um,Surface,BoundingBoxOO Length,1,2660,
2.00065,27.4297,42.4023,um,Surface,BoundingBoxOO Length,1,2661,
2.00359,5.36133,7.36328,um,Surface,BoundingBoxOO Length,1,2662,
2.00041,13.1816,19.4609,um,Surface,BoundingBoxOO Length,1,2663,
2.00322,9.6875,20.5996,um,Surface,BoundingBoxOO Length,1,2664,
2.01021,4.01953,8.20508,um,Surface,BoundingBoxOO Length,1,2665,
2.00066,33.3555,50.6641,um,Surface,BoundingBoxOO Length,1,2666,
2.00287,5.1875,9.33984,um,Surface,BoundingBoxOO Length,1,2667,
2.0017,15.916,18.918,um,Surface,BoundingBoxOO Length,1,2668,
2.00125,6.94922,18.1836,um,Surface,BoundingBoxOO Length,1,2669,
2.00924,4.23633,4.89063,um,Surface,BoundingBoxOO Length,1,2670,
2.00103,17.8105,26.7539,um,Surface,BoundingBoxOO Length,1,2671,
2.00209,4.17773,5.05078,um,Surface,BoundingBoxOO Length,1,2672,
2.00676,5.02734,8.72266,um,Surface,BoundingBoxOO Length,1,2673,
2.00414,4.87109,9.17578,um,Surface,BoundingBoxOO Length,1,2674,
2.00274,5.79688,7.70703,um,Surface,BoundingBoxOO Length,1,2675,
2.00286,7.85156,14.1836,um,Surface,BoundingBoxOO Length,1,2676,
2.00381,5.04688,5.87109,um,Surface,BoundingBoxOO Length,1,2677,
2.00101,21.5156,37.6113,um,Surface,BoundingBoxOO Length,1,2678,
2.00456,6.25195,10.7188,um,Surface,BoundingBoxOO Length,1,2679,
2.00252,7.91602,8.37891,um,Surface,BoundingBoxOO Length,1,2680,
2.00038,53.6289,97.4414,um,Surface,BoundingBoxOO Length,1,2681,
2.0021,9.77734,11.3828,um,Surface,BoundingBoxOO Length,1,2682,
2.00107,12.0547,13.0039,um,Surface,BoundingBoxOO Length,1,2683,
2.00794,4.67969,9.57422,um,Surface,BoundingBoxOO Length,1,2684,
2.00172,6.95703,10.4922,um,Surface,BoundingBoxOO Length,1,2685,
2.0013,6.03906,18.8867,um,Surface,BoundingBoxOO Length,1,2686,
2.00659,6.64648,8.90625,um,Surface,BoundingBoxOO Length,1,2687,
2.00185,10.5078,12.0781,um,Surface,BoundingBoxOO Length,1,2688,
2.00328,6.23633,8.03906,um,Surface,BoundingBoxOO Length,1,2689,
2.00366,5.6582,12.8359,um,Surface,BoundingBoxOO Length,1,2690,
2.01111,4.64453,5.78125,um,Surface,BoundingBoxOO Length,1,2691,
2.01541,3.48828,3.75391,um,Surface,BoundingBoxOO Length,1,2692,
2.00272,8.82813,11.7422,um,Surface,BoundingBoxOO Length,1,2693,
2.01691,3.29688,4.00195,um,Surface,BoundingBoxOO Length,1,2694,
2.00292,4.67383,7.3125,um,Surface,BoundingBoxOO Length,1,2695,
2.00657,4.08984,13.2734,um,Surface,BoundingBoxOO Length,1,2696,
2.00251,4.17188,6.54297,um,Surface,BoundingBoxOO Length,1,2697,
2.00958,3.82422,4.55469,um,Surface,BoundingBoxOO Length,1,2698,
2.00495,4.98828,6.01563,um,Surface,BoundingBoxOO Length,1,2699,
2.00867,4.22656,5.60156,um,Surface,BoundingBoxOO Length,1,2700,
2.02167,3.90234,6.51172,um,Surface,BoundingBoxOO Length,1,2701,
2.00603,3.38086,4.71484,um,Surface,BoundingBoxOO Length,1,2702,
2.01334,3.74609,4.11719,um,Surface,BoundingBoxOO Length,1,2703,
2.00664,4.8125,5.79688,um,Surface,BoundingBoxOO Length,1,2704,
2.00515,5.80078,6.19336,um,Surface,BoundingBoxOO Length,1,2705,
2.00174,8.02344,12.8164,um,Surface,BoundingBoxOO Length,1,2706,
2.00802,4.75586,7.65625,um,Surface,BoundingBoxOO Length,1,2707,
2.00119,11.207,13.4375,um,Surface,BoundingBoxOO Length,1,2708,
2.01276,3.42188,3.69922,um,Surface,BoundingBoxOO Length,1,2709,
2.02536,2.91797,4.53516,um,Surface,BoundingBoxOO Length,1,2710,
2.00942,3.92969,5.23828,um,Surface,BoundingBoxOO Length,1,2711,
2.01913,3.36719,3.73828,um,Surface,BoundingBoxOO Length,1,2712,
2.00144,4.80469,7.30859,um,Surface,BoundingBoxOO Length,1,2713,
1.10156,2.02051,1.85938,um,Surface,BoundingBoxOO Length,1,2714,
2.05713,3.10938,3.98828,um,Surface,BoundingBoxOO Length,1,2715,
2.00401,10.9766,25.3242,um,Surface,BoundingBoxOO Length,1,2716,
2.0017,7.77734,10.9414,um,Surface,BoundingBoxOO Length,1,2717,
2.01543,4.05078,6.85547,um,Surface,BoundingBoxOO Length,1,2718,
2.0017,8.11719,9.89063,um,Surface,BoundingBoxOO Length,1,2719,
2.00209,7.21484,15.3359,um,Surface,BoundingBoxOO Length,1,2720,
