
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
145,,Surface,5,Image 1,1,2820,
171,,Surface,5,Image 1,1,2821,
255,,Surface,5,Image 1,1,2822,
153,,Surface,5,Image 1,1,2823,
177,,Surface,5,Image 1,1,2824,
167,,Surface,5,Image 1,1,2825,
169,,Surface,5,Image 1,1,2826,
152,,Surface,5,Image 1,1,2827,
170,,Surface,5,Image 1,1,2828,
157,,Surface,5,Image 1,1,2829,
151,,Surface,5,Image 1,1,2830,
166,,Surface,5,Image 1,1,2831,
136,,Surface,5,Image 1,1,2832,
155,,Surface,5,Image 1,1,2833,
153,,Surface,5,Image 1,1,2834,
142,,Surface,5,Image 1,1,2835,
155,,Surface,5,Image 1,1,2836,
139,,Surface,5,Image 1,1,2837,
173,,Surface,5,Image 1,1,2838,
159,,Surface,5,Image 1,1,2839,
152,,Surface,5,Image 1,1,2840,
139,,Surface,5,Image 1,1,2841,
150,,Surface,5,Image 1,1,2842,
168,,Surface,5,Image 1,1,2843,
151,,Surface,5,Image 1,1,2844,
143,,Surface,5,Image 1,1,2845,
141,,Surface,5,Image 1,1,2846,
166,,Surface,5,Image 1,1,2847,
174,,Surface,5,Image 1,1,2848,
167,,Surface,5,Image 1,1,2849,
167,,Surface,5,Image 1,1,2850,
173,,Surface,5,Image 1,1,2851,
155,,Surface,5,Image 1,1,2852,
148,,Surface,5,Image 1,1,2853,
147,,Surface,5,Image 1,1,2854,
162,,Surface,5,Image 1,1,2855,
184,,Surface,5,Image 1,1,2856,
147,,Surface,5,Image 1,1,2857,
150,,Surface,5,Image 1,1,2858,
160,,Surface,5,Image 1,1,2859,
152,,Surface,5,Image 1,1,2860,
154,,Surface,5,Image 1,1,2861,
152,,Surface,5,Image 1,1,2862,
166,,Surface,5,Image 1,1,2863,
166,,Surface,5,Image 1,1,2864,
150,,Surface,5,Image 1,1,2865,
146,,Surface,5,Image 1,1,2866,
190,,Surface,5,Image 1,1,2867,
158,,Surface,5,Image 1,1,2868,
154,,Surface,5,Image 1,1,2869,
190,,Surface,5,Image 1,1,2870,
136,,Surface,5,Image 1,1,2871,
168,,Surface,5,Image 1,1,2872,
158,,Surface,5,Image 1,1,2873,
155,,Surface,5,Image 1,1,2874,
144,,Surface,5,Image 1,1,2875,
158,,Surface,5,Image 1,1,2876,
151,,Surface,5,Image 1,1,2877,
144,,Surface,5,Image 1,1,2878,
145,,Surface,5,Image 1,1,2879,
200,,Surface,5,Image 1,1,2880,
138,,Surface,5,Image 1,1,2881,
146,,Surface,5,Image 1,1,2882,
151,,Surface,5,Image 1,1,2883,
150,,Surface,5,Image 1,1,2884,
154,,Surface,5,Image 1,1,2885,
161,,Surface,5,Image 1,1,2886,
158,,Surface,5,Image 1,1,2887,
160,,Surface,5,Image 1,1,2888,
158,,Surface,5,Image 1,1,2889,
150,,Surface,5,Image 1,1,2890,
151,,Surface,5,Image 1,1,2891,
157,,Surface,5,Image 1,1,2892,
