
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
20,,Surface,2,Image 1,1,3024,
30,,Surface,2,Image 1,1,3025,
21,,Surface,2,Image 1,1,3026,
24,,Surface,2,Image 1,1,3027,
17,,Surface,2,Image 1,1,3028,
7,,Surface,2,Image 1,1,3029,
29,,Surface,2,Image 1,1,3030,
19,,Surface,2,Image 1,1,3031,
19,,Surface,2,Image 1,1,3032,
19,,Surface,2,Image 1,1,3033,
3,,Surface,2,Image 1,1,3034,
21,,Surface,2,Image 1,1,3035,
13,,Surface,2,Image 1,1,3036,
36,,Surface,2,Image 1,1,3037,
13,,Surface,2,Image 1,1,3038,
37,,Surface,2,Image 1,1,3039,
27,,Surface,2,Image 1,1,3040,
29,,Surface,2,Image 1,1,3041,
19,,Surface,2,Image 1,1,3042,
23,,Surface,2,Image 1,1,3043,
12,,Surface,2,Image 1,1,3044,
16,,Surface,2,Image 1,1,3045,
13,,Surface,2,Image 1,1,3046,
0,,Surface,2,Image 1,1,3047,
47,,Surface,2,Image 1,1,3048,
23,,Surface,2,Image 1,1,3049,
25,,Surface,2,Image 1,1,3050,
15,,Surface,2,Image 1,1,3051,
33,,Surface,2,Image 1,1,3052,
37,,Surface,2,Image 1,1,3053,
3,,Surface,2,Image 1,1,3054,
22,,Surface,2,Image 1,1,3055,
9,,Surface,2,Image 1,1,3056,
22,,Surface,2,Image 1,1,3057,
25,,Surface,2,Image 1,1,3058,
31,,Surface,2,Image 1,1,3059,
3,,Surface,2,Image 1,1,3060,
18,,Surface,2,Image 1,1,3061,
23,,Surface,2,Image 1,1,3062,
15,,Surface,2,Image 1,1,3063,
37,,Surface,2,Image 1,1,3064,
38,,Surface,2,Image 1,1,3065,
33,,Surface,2,Image 1,1,3066,
20,,Surface,2,Image 1,1,3067,
26,,Surface,2,Image 1,1,3068,
35,,Surface,2,Image 1,1,3069,
13,,Surface,2,Image 1,1,3070,
46,,Surface,2,Image 1,1,3071,
46,,Surface,2,Image 1,1,3072,
7,,Surface,2,Image 1,1,3073,
13,,Surface,2,Image 1,1,3074,
27,,Surface,2,Image 1,1,3075,
18,,Surface,2,Image 1,1,3076,
19,,Surface,2,Image 1,1,3077,
41,,Surface,2,Image 1,1,3078,
16,,Surface,2,Image 1,1,3079,
22,,Surface,2,Image 1,1,3080,
