
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,ID,
-6.64568e-13,-1.46977e-13,1,um,Surface,Ellipsoid Axis A,1,2635,
-1.71762e-12,5.43637e-11,1,um,Surface,Ellipsoid Axis A,1,2636,
4.51631e-12,-3.30404e-12,1,um,Surface,Ellipsoid Axis A,1,2637,
2.66178e-12,-3.39959e-12,1,um,Surface,Ellipsoid Axis A,1,2638,
-2.81465e-13,7.07337e-13,1,um,Surface,Ellipsoid Axis A,1,2639,
-7.89287e-12,-3.96867e-12,1,um,Surface,Ellipsoid Axis A,1,2640,
3.0084e-12,-8.34293e-12,1,um,Surface,Ellipsoid Axis A,1,2641,
-2.63717e-12,-5.08281e-12,1,um,Surface,Ellipsoid Axis A,1,2642,
-1.45982e-13,2.21504e-12,1,um,Surface,Ellipsoid Axis A,1,2643,
1.3753e-13,-8.50791e-14,1,um,Surface,Ellipsoid Axis A,1,2644,
6.96915e-12,2.32767e-12,1,um,Surface,Ellipsoid Axis A,1,2645,
-6.93961e-12,-3.66066e-12,1,um,Surface,Ellipsoid Axis A,1,2646,
-8.44015e-12,1.06812e-12,1,um,Surface,Ellipsoid Axis A,1,2647,
2.89355e-12,9.4752e-13,1,um,Surface,Ellipsoid Axis A,1,2648,
-9.23754e-12,3.07479e-12,1,um,Surface,Ellipsoid Axis A,1,2649,
4.49767e-12,-1.28854e-12,1,um,Surface,Ellipsoid Axis A,1,2650,
-8.62139e-13,1.65814e-12,1,um,Surface,Ellipsoid Axis A,1,2651,
-3.17689e-12,2.65537e-13,1,um,Surface,Ellipsoid Axis A,1,2652,
1.93486e-12,4.15548e-12,1,um,Surface,Ellipsoid Axis A,1,2653,
1.773e-14,1.81967e-12,1,um,Surface,Ellipsoid Axis A,1,2654,
3.78401e-12,-9.23788e-12,1,um,Surface,Ellipsoid Axis A,1,2655,
-6.21556e-12,-1.72546e-11,1,um,Surface,Ellipsoid Axis A,1,2656,
4.78463e-12,7.28894e-12,1,um,Surface,Ellipsoid Axis A,1,2657,
2.6975e-12,2.7542e-12,1,um,Surface,Ellipsoid Axis A,1,2658,
2.79278e-12,-5.07278e-12,1,um,Surface,Ellipsoid Axis A,1,2659,
-9.44773e-13,1.83419e-12,1,um,Surface,Ellipsoid Axis A,1,2660,
1.14274e-13,-7.88525e-13,1,um,Surface,Ellipsoid Axis A,1,2661,
-2.67936e-11,1.43142e-11,1,um,Surface,Ellipsoid Axis A,1,2662,
1.84945e-12,-5.37673e-12,1,um,Surface,Ellipsoid Axis A,1,2663,
5.64593e-12,1.09258e-11,1,um,Surface,Ellipsoid Axis A,1,2664,
1.05145e-11,1.02106e-11,1,um,Surface,Ellipsoid Axis A,1,2665,
1.85859e-12,2.41681e-13,1,um,Surface,Ellipsoid Axis A,1,2666,
0,0,1,um,Surface,Ellipsoid Axis A,1,2667,
-2.44185e-12,3.14674e-12,1,um,Surface,Ellipsoid Axis A,1,2668,
1.45677e-12,-1.84027e-11,1,um,Surface,Ellipsoid Axis A,1,2669,
7.08867e-13,-2.75477e-12,1,um,Surface,Ellipsoid Axis A,1,2670,
1.52771e-12,-3.80666e-12,1,um,Surface,Ellipsoid Axis A,1,2671,
2.96653e-12,-2.17185e-13,1,um,Surface,Ellipsoid Axis A,1,2672,
-2.68361e-12,1.05533e-13,1,um,Surface,Ellipsoid Axis A,1,2673,
-1.91108e-12,2.21881e-12,1,um,Surface,Ellipsoid Axis A,1,2674,
-1.43619e-11,6.72833e-13,1,um,Surface,Ellipsoid Axis A,1,2675,
6.14983e-11,-4.37261e-12,1,um,Surface,Ellipsoid Axis A,1,2676,
0,0,1,um,Surface,Ellipsoid Axis A,1,2677,
1.08416e-12,1.01406e-12,1,um,Surface,Ellipsoid Axis A,1,2678,
3.69636e-12,-4.9529e-12,1,um,Surface,Ellipsoid Axis A,1,2679,
3.75255e-12,1.03502e-11,1,um,Surface,Ellipsoid Axis A,1,2680,
7.41354e-15,3.83636e-14,1,um,Surface,Ellipsoid Axis A,1,2681,
4.94492e-13,-1.90241e-12,1,um,Surface,Ellipsoid Axis A,1,2682,
8.63728e-12,5.30116e-12,1,um,Surface,Ellipsoid Axis A,1,2683,
-2.32341e-13,-7.05304e-12,1,um,Surface,Ellipsoid Axis A,1,2684,
-2.65078e-12,-3.9079e-12,1,um,Surface,Ellipsoid Axis A,1,2685,
-2.60704e-12,-6.91278e-12,1,um,Surface,Ellipsoid Axis A,1,2686,
-3.17241e-12,3.2451e-12,1,um,Surface,Ellipsoid Axis A,1,2687,
2.77509e-12,3.65228e-12,1,um,Surface,Ellipsoid Axis A,1,2688,
-3.4442e-11,2.80401e-11,1,um,Surface,Ellipsoid Axis A,1,2689,
4.57393e-12,-1.64363e-12,1,um,Surface,Ellipsoid Axis A,1,2690,
3.30606e-12,1.24216e-13,1,um,Surface,Ellipsoid Axis A,1,2691,
1.94725e-11,-3.2189e-12,1,um,Surface,Ellipsoid Axis A,1,2692,
1.25078e-12,6.75892e-13,1,um,Surface,Ellipsoid Axis A,1,2693,
1.2543e-11,-8.54878e-12,1,um,Surface,Ellipsoid Axis A,1,2694,
4.13855e-12,-4.05228e-12,1,um,Surface,Ellipsoid Axis A,1,2695,
6.48351e-14,4.07715e-12,1,um,Surface,Ellipsoid Axis A,1,2696,
-2.61988e-12,3.40854e-12,1,um,Surface,Ellipsoid Axis A,1,2697,
3.1066e-12,5.24186e-12,1,um,Surface,Ellipsoid Axis A,1,2698,
2.88399e-12,2.42157e-12,1,um,Surface,Ellipsoid Axis A,1,2699,
9.2638e-12,4.27977e-12,1,um,Surface,Ellipsoid Axis A,1,2700,
0,0,1,um,Surface,Ellipsoid Axis A,1,2701,
1.37405e-12,-5.42909e-12,1,um,Surface,Ellipsoid Axis A,1,2702,
-2.16736e-11,-7.1421e-12,1,um,Surface,Ellipsoid Axis A,1,2703,
-1.98749e-12,1.62516e-12,1,um,Surface,Ellipsoid Axis A,1,2704,
1.95158e-12,1.01093e-13,1,um,Surface,Ellipsoid Axis A,1,2705,
-3.79488e-12,7.02488e-13,1,um,Surface,Ellipsoid Axis A,1,2706,
5.32747e-12,-1.1842e-12,1,um,Surface,Ellipsoid Axis A,1,2707,
-1.83815e-12,-6.25569e-13,1,um,Surface,Ellipsoid Axis A,1,2708,
7.15612e-12,-1.98467e-13,1,um,Surface,Ellipsoid Axis A,1,2709,
-7.77023e-12,4.85397e-12,1,um,Surface,Ellipsoid Axis A,1,2710,
1.96971e-12,8.21184e-12,1,um,Surface,Ellipsoid Axis A,1,2711,
-1.37449e-11,-2.19427e-11,1,um,Surface,Ellipsoid Axis A,1,2712,
-2.89728e-12,4.20806e-12,1,um,Surface,Ellipsoid Axis A,1,2713,
1,0,0,um,Surface,Ellipsoid Axis A,1,2714,
-3.82894e-12,-8.67093e-13,1,um,Surface,Ellipsoid Axis A,1,2715,
3.60291e-13,4.42097e-12,1,um,Surface,Ellipsoid Axis A,1,2716,
-5.32612e-12,1.26891e-11,1,um,Surface,Ellipsoid Axis A,1,2717,
1.20644e-12,4.90707e-13,1,um,Surface,Ellipsoid Axis A,1,2718,
1.11132e-11,-7.47984e-12,1,um,Surface,Ellipsoid Axis A,1,2719,
-3.43323e-12,1.55099e-11,1,um,Surface,Ellipsoid Axis A,1,2720,
3.47353e-12,2.90208e-12,1,um,Surface,Ellipsoid Axis A,1,2721,
4.88206e-12,3.38002e-12,1,um,Surface,Ellipsoid Axis A,1,2722,
-1.19928e-11,-7.50753e-12,1,um,Surface,Ellipsoid Axis A,1,2723,
7.49754e-12,8.77523e-13,1,um,Surface,Ellipsoid Axis A,1,2724,
0,0,1,um,Surface,Ellipsoid Axis A,1,2725,
-3.01587e-12,-1.93489e-12,1,um,Surface,Ellipsoid Axis A,1,2726,
1.78265e-11,2.39685e-12,1,um,Surface,Ellipsoid Axis A,1,2727,
3.59222e-12,1.25786e-12,1,um,Surface,Ellipsoid Axis A,1,2728,
-2.1168e-12,6.75143e-13,1,um,Surface,Ellipsoid Axis A,1,2729,
1.03753e-12,2.18305e-12,1,um,Surface,Ellipsoid Axis A,1,2730,
-1.3936e-11,-4.04111e-12,1,um,Surface,Ellipsoid Axis A,1,2731,
3.0816e-12,-1.15671e-12,1,um,Surface,Ellipsoid Axis A,1,2732,
7.72107e-12,2.46401e-12,1,um,Surface,Ellipsoid Axis A,1,2733,
5.81888e-13,6.7119e-13,1,um,Surface,Ellipsoid Axis A,1,2734,
-2.47623e-12,1.97433e-12,1,um,Surface,Ellipsoid Axis A,1,2735,
-1.24651e-11,1.2546e-12,1,um,Surface,Ellipsoid Axis A,1,2736,
-3.76688e-12,-8.72833e-13,1,um,Surface,Ellipsoid Axis A,1,2737,
9.73484e-12,3.25125e-12,1,um,Surface,Ellipsoid Axis A,1,2738,
1.87322e-12,9.17718e-13,1,um,Surface,Ellipsoid Axis A,1,2739,
-1.29842e-11,6.47014e-13,1,um,Surface,Ellipsoid Axis A,1,2740,
-1.50176e-11,8.3034e-12,1,um,Surface,Ellipsoid Axis A,1,2741,
-4.18852e-11,2.4809e-11,1,um,Surface,Ellipsoid Axis A,1,2742,
-4.57155e-12,5.76342e-12,1,um,Surface,Ellipsoid Axis A,1,2743,
4.24165e-13,-1.39379e-14,1,um,Surface,Ellipsoid Axis A,1,2744,
3.67819e-12,-3.49006e-13,1,um,Surface,Ellipsoid Axis A,1,2745,
9.01141e-12,-1.46869e-12,1,um,Surface,Ellipsoid Axis A,1,2746,
4.88713e-13,-1.88778e-12,1,um,Surface,Ellipsoid Axis A,1,2747,
4.64257e-11,-2.96838e-13,1,um,Surface,Ellipsoid Axis A,1,2748,
