
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
632,,Surface,Image 1,1,3191,
4360,,Surface,Image 1,1,3192,
180,,Surface,Image 1,1,3193,
760,,Surface,Image 1,1,3194,
816,,Surface,Image 1,1,3195,
4120,,Surface,Image 1,1,3196,
2848,,Surface,Image 1,1,3197,
488,,Surface,Image 1,1,3198,
808,,Surface,Image 1,1,3199,
704,,Surface,Image 1,1,3200,
508,,Surface,Image 1,1,3201,
192,,Surface,Image 1,1,3202,
860,,Surface,Image 1,1,3203,
500,,Surface,Image 1,1,3204,
304,,Surface,Image 1,1,3205,
440,,Surface,Image 1,1,3206,
96,,Surface,Image 1,1,3207,
252,,Surface,Image 1,1,3208,
340,,Surface,Image 1,1,3209,
124,,Surface,Image 1,1,3210,
108,,Surface,Image 1,1,3211,
104,,Surface,Image 1,1,3212,
92,,Surface,Image 1,1,3213,
776,,Surface,Image 1,1,3214,
104,,Surface,Image 1,1,3215,
312,,Surface,Image 1,1,3216,
620,,Surface,Image 1,1,3217,
152,,Surface,Image 1,1,3218,
204,,Surface,Image 1,1,3219,
300,,Surface,Image 1,1,3220,
384,,Surface,Image 1,1,3221,
372,,Surface,Image 1,1,3222,
68,,Surface,Image 1,1,3223,
76,,Surface,Image 1,1,3224,
300,,Surface,Image 1,1,3225,
