
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
76.7353,,Surface,6,Image 1,1,2649,
74.625,,Surface,6,Image 1,1,2650,
70.0551,,Surface,6,Image 1,1,2651,
61.6557,,Surface,6,Image 1,1,2652,
81.8432,,Surface,6,Image 1,1,2653,
79.8786,,Surface,6,Image 1,1,2654,
64.3795,,Surface,6,Image 1,1,2655,
63.8435,,Surface,6,Image 1,1,2656,
68.1019,,Surface,6,Image 1,1,2657,
87.8571,,Surface,6,Image 1,1,2658,
65.5156,,Surface,6,Image 1,1,2659,
86.2581,,Surface,6,Image 1,1,2660,
61.0948,,Surface,6,Image 1,1,2661,
74.1488,,Surface,6,Image 1,1,2662,
64.3644,,Surface,6,Image 1,1,2663,
65.1415,,Surface,6,Image 1,1,2664,
70.4219,,Surface,6,Image 1,1,2665,
64.7525,,Surface,6,Image 1,1,2666,
81.4219,,Surface,6,Image 1,1,2667,
72.8855,,Surface,6,Image 1,1,2668,
81.2658,,Surface,6,Image 1,1,2669,
89.8452,,Surface,6,Image 1,1,2670,
62.0926,,Surface,6,Image 1,1,2671,
74.3235,,Surface,6,Image 1,1,2672,
59.2024,,Surface,6,Image 1,1,2673,
72.0056,,Surface,6,Image 1,1,2674,
67.1818,,Surface,6,Image 1,1,2675,
81.4375,,Surface,6,Image 1,1,2676,
71.3917,,Surface,6,Image 1,1,2677,
69.6992,,Surface,6,Image 1,1,2678,
69.2955,,Surface,6,Image 1,1,2679,
66.3661,,Surface,6,Image 1,1,2680,
61.9556,,Surface,6,Image 1,1,2681,
77.9128,,Surface,6,Image 1,1,2682,
70.1958,,Surface,6,Image 1,1,2683,
72.1,,Surface,6,Image 1,1,2684,
80.3289,,Surface,6,Image 1,1,2685,
79.4566,,Surface,6,Image 1,1,2686,
88.775,,Surface,6,Image 1,1,2687,
65.158,,Surface,6,Image 1,1,2688,
89.8077,,Surface,6,Image 1,1,2689,
62.9659,,Surface,6,Image 1,1,2690,
79.01,,Surface,6,Image 1,1,2691,
84.3906,,Surface,6,Image 1,1,2692,
70.4783,,Surface,6,Image 1,1,2693,
79.7885,,Surface,6,Image 1,1,2694,
76.3333,,Surface,6,Image 1,1,2695,
74.8816,,Surface,6,Image 1,1,2696,
68.1983,,Surface,6,Image 1,1,2697,
62.6094,,Surface,6,Image 1,1,2698,
74.3448,,Surface,6,Image 1,1,2699,
84.925,,Surface,6,Image 1,1,2700,
70.2308,,Surface,6,Image 1,1,2701,
77.9833,,Surface,6,Image 1,1,2702,
86.3167,,Surface,6,Image 1,1,2703,
65.1034,,Surface,6,Image 1,1,2704,
109,,Surface,6,Image 1,1,2705,
64.7385,,Surface,6,Image 1,1,2706,
70.9236,,Surface,6,Image 1,1,2707,
73.9322,,Surface,6,Image 1,1,2708,
72.3393,,Surface,6,Image 1,1,2709,
75.2115,,Surface,6,Image 1,1,2710,
67.1932,,Surface,6,Image 1,1,2711,
86.1071,,Surface,6,Image 1,1,2712,
92.0564,,Surface,6,Image 1,1,2713,
58.6667,,Surface,6,Image 1,1,2714,
80.1964,,Surface,6,Image 1,1,2715,
65.1048,,Surface,6,Image 1,1,2716,
82.2912,,Surface,6,Image 1,1,2717,
61.5179,,Surface,6,Image 1,1,2718,
74.6341,,Surface,6,Image 1,1,2719,
60.3447,,Surface,6,Image 1,1,2720,
63.375,,Surface,6,Image 1,1,2721,
67.2679,,Surface,6,Image 1,1,2722,
100.745,,Surface,6,Image 1,1,2723,
72.7842,,Surface,6,Image 1,1,2724,
87.3684,,Surface,6,Image 1,1,2725,
75.0357,,Surface,6,Image 1,1,2726,
64.5059,,Surface,6,Image 1,1,2727,
58.0425,,Surface,6,Image 1,1,2728,
60.0805,,Surface,6,Image 1,1,2729,
64.9742,,Surface,6,Image 1,1,2730,
78.2,,Surface,6,Image 1,1,2731,
77.8203,,Surface,6,Image 1,1,2732,
69.7888,,Surface,6,Image 1,1,2733,
66.3661,,Surface,6,Image 1,1,2734,
57.4545,,Surface,6,Image 1,1,2735,
63.5493,,Surface,6,Image 1,1,2736,
65.8488,,Surface,6,Image 1,1,2737,
73.8079,,Surface,6,Image 1,1,2738,
84.1059,,Surface,6,Image 1,1,2739,
61.8036,,Surface,6,Image 1,1,2740,
56.8462,,Surface,6,Image 1,1,2741,
69.461,,Surface,6,Image 1,1,2742,
69.2609,,Surface,6,Image 1,1,2743,
66.1197,,Surface,6,Image 1,1,2744,
76.6268,,Surface,6,Image 1,1,2745,
82.0245,,Surface,6,Image 1,1,2746,
65.92,,Surface,6,Image 1,1,2747,
68.531,,Surface,6,Image 1,1,2748,
63.4,,Surface,6,Image 1,1,2749,
64.9706,,Surface,6,Image 1,1,2750,
69.2421,,Surface,6,Image 1,1,2751,
64.75,,Surface,6,Image 1,1,2752,
58.8846,,Surface,6,Image 1,1,2753,
71.5286,,Surface,6,Image 1,1,2754,
69.4322,,Surface,6,Image 1,1,2755,
73.9167,,Surface,6,Image 1,1,2756,
