
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,ID,
0.559017,um,Surface,1,2925,
0.559017,um,Surface,1,2926,
0.559017,um,Surface,1,2927,
0.559017,um,Surface,1,2928,
0.559017,um,Surface,1,2929,
0.559017,um,Surface,1,2930,
0.559017,um,Surface,1,2931,
0.559017,um,Surface,1,2932,
0.559017,um,Surface,1,2933,
0.559017,um,Surface,1,2934,
0.559017,um,Surface,1,2935,
0.559017,um,Surface,1,2936,
0.559017,um,Surface,1,2937,
0.559017,um,Surface,1,2938,
0.559017,um,Surface,1,2939,
0.559017,um,Surface,1,2940,
0.559017,um,Surface,1,2941,
0.559017,um,Surface,1,2942,
0.559017,um,Surface,1,2943,
0.559017,um,Surface,1,2944,
0.559017,um,Surface,1,2945,
0.559017,um,Surface,1,2946,
0.559017,um,Surface,1,2947,
0.559017,um,Surface,1,2948,
0.559017,um,Surface,1,2949,
0.559017,um,Surface,1,2950,
0.559017,um,Surface,1,2951,
0.559017,um,Surface,1,2952,
0.559017,um,Surface,1,2953,
0.559017,um,Surface,1,2954,
0.559017,um,Surface,1,2955,
0.559017,um,Surface,1,2956,
0.559017,um,Surface,1,2957,
0.559017,um,Surface,1,2958,
0.559017,um,Surface,1,2959,
0.559017,um,Surface,1,2960,
0.559017,um,Surface,1,2961,
0.559017,um,Surface,1,2962,
0.559017,um,Surface,1,2963,
0.559017,um,Surface,1,2964,
0.559017,um,Surface,1,2965,
0.559017,um,Surface,1,2966,
0.559017,um,Surface,1,2967,
0.559017,um,Surface,1,2968,
0.559017,um,Surface,1,2969,
0.559017,um,Surface,1,2970,
0.559017,um,Surface,1,2971,
0.559017,um,Surface,1,2972,
0.559017,um,Surface,1,2973,
0.559017,um,Surface,1,2974,
0.559017,um,Surface,1,2975,
0.559017,um,Surface,1,2976,
0.559017,um,Surface,1,2977,
0.559017,um,Surface,1,2978,
0.559017,um,Surface,1,2979,
0.559017,um,Surface,1,2980,
0.559017,um,Surface,1,2981,
0.559017,um,Surface,1,2982,
0.559017,um,Surface,1,2983,
0.559017,um,Surface,1,2984,
0.559017,um,Surface,1,2985,
0.559017,um,Surface,1,2986,
0.559017,um,Surface,1,2987,
0.559017,um,Surface,1,2988,
0.559017,um,Surface,1,2989,
0.559017,um,Surface,1,2990,
0.559017,um,Surface,1,2991,
0.559017,um,Surface,1,2992,
0.559017,um,Surface,1,2993,
0.559017,um,Surface,1,2994,
0.559017,um,Surface,1,2995,
0.559017,um,Surface,1,2996,
0.559017,um,Surface,1,2997,
0.559017,um,Surface,1,2998,
0.559017,um,Surface,1,2999,
0.559017,um,Surface,1,3000,
0.559017,um,Surface,1,3001,
0.559017,um,Surface,1,3002,
0.559017,um,Surface,1,3003,
0.559017,um,Surface,1,3004,
0.559017,um,Surface,1,3005,
0.559017,um,Surface,1,3006,
0.559017,um,Surface,1,3007,
0.559017,um,Surface,1,3008,
0.559017,um,Surface,1,3009,
0.559017,um,Surface,1,3010,
0.559017,um,Surface,1,3011,
0.559017,um,Surface,1,3012,
0.559017,um,Surface,1,3013,
0.559017,um,Surface,1,3014,
0.559017,um,Surface,1,3015,
0.559017,um,Surface,1,3016,
0.559017,um,Surface,1,3017,
0.559017,um,Surface,1,3018,
0.559017,um,Surface,1,3019,
0.559017,um,Surface,1,3020,
0.559017,um,Surface,1,3021,
0.559017,um,Surface,1,3022,
0.559017,um,Surface,1,3023,
0.559017,um,Surface,1,3024,
0.559017,um,Surface,1,3025,
0.559017,um,Surface,1,3026,
0.559017,um,Surface,1,3027,
0.559017,um,Surface,1,3028,
0.559017,um,Surface,1,3029,
0.559017,um,Surface,1,3030,
0.559017,um,Surface,1,3031,
0.559017,um,Surface,1,3032,
0.559017,um,Surface,1,3033,
0.559017,um,Surface,1,3034,
0.559017,um,Surface,1,3035,
0.559017,um,Surface,1,3036,
0.559017,um,Surface,1,3037,
0.559017,um,Surface,1,3038,
0.559017,um,Surface,1,3039,
0.559017,um,Surface,1,3040,
0.559017,um,Surface,1,3041,
0.559017,um,Surface,1,3042,
0.559017,um,Surface,1,3043,
0.559017,um,Surface,1,3044,
0.559017,um,Surface,1,3045,
0.559017,um,Surface,1,3046,
0.559017,um,Surface,1,3047,
0.559017,um,Surface,1,3048,
0.559017,um,Surface,1,3049,
0.559017,um,Surface,1,3050,
0.559017,um,Surface,1,3051,
0.559017,um,Surface,1,3052,
0.559017,um,Surface,1,3053,
0.559017,um,Surface,1,3054,
0.559017,um,Surface,1,3055,
0.559017,um,Surface,1,3056,
0.559017,um,Surface,1,3057,
0.559017,um,Surface,1,3058,
0.559017,um,Surface,1,3059,
0.559017,um,Surface,1,3060,
0.559017,um,Surface,1,3061,
0.559017,um,Surface,1,3062,
0.559017,um,Surface,1,3063,
0.559017,um,Surface,1,3064,
0.559017,um,Surface,1,3065,
0.559017,um,Surface,1,3066,
0.559017,um,Surface,1,3067,
0.559017,um,Surface,1,3068,
0.559017,um,Surface,1,3069,
0.559017,um,Surface,1,3070,
0.559017,um,Surface,1,3071,
0.559017,um,Surface,1,3072,
0.559017,um,Surface,1,3073,
0.559017,um,Surface,1,3074,
0.559017,um,Surface,1,3075,
0.559017,um,Surface,1,3076,
0.559017,um,Surface,1,3077,
0.559017,um,Surface,1,3078,
0.559017,um,Surface,1,3079,
0.559017,um,Surface,1,3080,
0.559017,um,Surface,1,3081,
0.559017,um,Surface,1,3082,
0.559017,um,Surface,1,3083,
0.559017,um,Surface,1,3084,
0.559017,um,Surface,1,3085,
0.559017,um,Surface,1,3086,
0.559017,um,Surface,1,3087,
0.559017,um,Surface,1,3088,
0.559017,um,Surface,1,3089,
0.559017,um,Surface,1,3090,
0.559017,um,Surface,1,3091,
0.559017,um,Surface,1,3092,
0.559017,um,Surface,1,3093,
0.559017,um,Surface,1,3094,
0.559017,um,Surface,1,3095,
0.559017,um,Surface,1,3096,
0.559017,um,Surface,1,3097,
0.559017,um,Surface,1,3098,
0.559017,um,Surface,1,3099,
0.559017,um,Surface,1,3100,
0.559017,um,Surface,1,3101,
0.559017,um,Surface,1,3102,
0.559017,um,Surface,1,3103,
0.559017,um,Surface,1,3104,
0.559017,um,Surface,1,3105,
0.559017,um,Surface,1,3106,
0.559017,um,Surface,1,3107,
0.559017,um,Surface,1,3108,
0.559017,um,Surface,1,3109,
0.559017,um,Surface,1,3110,
0.559017,um,Surface,1,3111,
0.559017,um,Surface,1,3112,
0.559017,um,Surface,1,3113,
0.559017,um,Surface,1,3114,
0.559017,um,Surface,1,3115,
0.559017,um,Surface,1,3116,
0.559017,um,Surface,1,3117,
0.559017,um,Surface,1,3118,
0.559017,um,Surface,1,3119,
0.559017,um,Surface,1,3120,
0.559017,um,Surface,1,3121,
0.559017,um,Surface,1,3122,
0.559017,um,Surface,1,3123,
0.559017,um,Surface,1,3124,
0.559017,um,Surface,1,3125,
0.559017,um,Surface,1,3126,
0.559017,um,Surface,1,3127,
0.559017,um,Surface,1,3128,
0.559017,um,Surface,1,3129,
0.559017,um,Surface,1,3130,
0.559017,um,Surface,1,3131,
0.559017,um,Surface,1,3132,
0.559017,um,Surface,1,3133,
0.559017,um,Surface,1,3134,
0.559017,um,Surface,1,3135,
0.559017,um,Surface,1,3136,
0.559017,um,Surface,1,3137,
0.559017,um,Surface,1,3138,
0.559017,um,Surface,1,3139,
0.559017,um,Surface,1,3140,
0.559017,um,Surface,1,3141,
0.559017,um,Surface,1,3142,
0.559017,um,Surface,1,3143,
0.559017,um,Surface,1,3144,
0.559017,um,Surface,1,3145,
0.559017,um,Surface,1,3146,
0.559017,um,Surface,1,3147,
0.559017,um,Surface,1,3148,
0.559017,um,Surface,1,3149,
0.559017,um,Surface,1,3150,
0.559017,um,Surface,1,3151,
0.559017,um,Surface,1,3152,
0.559017,um,Surface,1,3153,
0.559017,um,Surface,1,3154,
0.559017,um,Surface,1,3155,
0.559017,um,Surface,1,3156,
0.559017,um,Surface,1,3157,
0.559017,um,Surface,1,3158,
0.559017,um,Surface,1,3159,
0.559017,um,Surface,1,3160,
0.559017,um,Surface,1,3161,
0.559017,um,Surface,1,3162,
0.559017,um,Surface,1,3163,
0.559017,um,Surface,1,3164,
0.559017,um,Surface,1,3165,
0.559017,um,Surface,1,3166,
0.559017,um,Surface,1,3167,
0.559017,um,Surface,1,3168,
0.559017,um,Surface,1,3169,
0.559017,um,Surface,1,3170,
0.559017,um,Surface,1,3171,
0.559017,um,Surface,1,3172,
0.559017,um,Surface,1,3173,
0.559017,um,Surface,1,3174,
0.559017,um,Surface,1,3175,
0.559017,um,Surface,1,3176,
0.559017,um,Surface,1,3177,
0.559017,um,Surface,1,3178,
0.559017,um,Surface,1,3179,
0.559017,um,Surface,1,3180,
0.559017,um,Surface,1,3181,
0.559017,um,Surface,1,3182,
0.559017,um,Surface,1,3183,
0.559017,um,Surface,1,3184,
0.559017,um,Surface,1,3185,
0.559017,um,Surface,1,3186,
