
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2718,
0,um,Surface,Image 1,1,2719,
0,um,Surface,Image 1,1,2720,
0,um,Surface,Image 1,1,2721,
0,um,Surface,Image 1,1,2722,
0,um,Surface,Image 1,1,2723,
0,um,Surface,Image 1,1,2724,
0,um,Surface,Image 1,1,2725,
0,um,Surface,Image 1,1,2726,
0,um,Surface,Image 1,1,2727,
0,um,Surface,Image 1,1,2728,
0,um,Surface,Image 1,1,2729,
0,um,Surface,Image 1,1,2730,
0,um,Surface,Image 1,1,2731,
0,um,Surface,Image 1,1,2732,
0,um,Surface,Image 1,1,2733,
0,um,Surface,Image 1,1,2734,
0,um,Surface,Image 1,1,2735,
0,um,Surface,Image 1,1,2736,
0,um,Surface,Image 1,1,2737,
0,um,Surface,Image 1,1,2738,
0,um,Surface,Image 1,1,2739,
0,um,Surface,Image 1,1,2740,
0,um,Surface,Image 1,1,2741,
0,um,Surface,Image 1,1,2742,
0,um,Surface,Image 1,1,2743,
0,um,Surface,Image 1,1,2744,
0,um,Surface,Image 1,1,2745,
0,um,Surface,Image 1,1,2746,
0,um,Surface,Image 1,1,2747,
0,um,Surface,Image 1,1,2748,
0,um,Surface,Image 1,1,2749,
0,um,Surface,Image 1,1,2750,
0,um,Surface,Image 1,1,2751,
0,um,Surface,Image 1,1,2752,
0,um,Surface,Image 1,1,2753,
0,um,Surface,Image 1,1,2754,
0,um,Surface,Image 1,1,2755,
0,um,Surface,Image 1,1,2756,
0,um,Surface,Image 1,1,2757,
0,um,Surface,Image 1,1,2758,
0,um,Surface,Image 1,1,2759,
0,um,Surface,Image 1,1,2760,
0,um,Surface,Image 1,1,2761,
0,um,Surface,Image 1,1,2762,
0,um,Surface,Image 1,1,2763,
0,um,Surface,Image 1,1,2764,
0,um,Surface,Image 1,1,2765,
0,um,Surface,Image 1,1,2766,
0,um,Surface,Image 1,1,2767,
0,um,Surface,Image 1,1,2768,
0,um,Surface,Image 1,1,2769,
0,um,Surface,Image 1,1,2770,
0,um,Surface,Image 1,1,2771,
0,um,Surface,Image 1,1,2772,
0,um,Surface,Image 1,1,2773,
0,um,Surface,Image 1,1,2774,
0,um,Surface,Image 1,1,2775,
