
Area
 ==================== 
Area,Unit,Category,Time,ID,
55.96,um^2,Surface,1,2953,
309.95,um^2,Surface,1,2954,
623.342,um^2,Surface,1,2955,
87.1605,um^2,Surface,1,2956,
61.5522,um^2,Surface,1,2957,
252.184,um^2,Surface,1,2958,
378.495,um^2,Surface,1,2959,
120.52,um^2,Surface,1,2960,
112.127,um^2,Surface,1,2961,
128.419,um^2,Surface,1,2962,
392.556,um^2,Surface,1,2963,
46.1282,um^2,Surface,1,2964,
945.127,um^2,Surface,1,2965,
117.837,um^2,Surface,1,2966,
73.9206,um^2,Surface,1,2967,
66.1527,um^2,Surface,1,2968,
13.5446,um^2,Surface,1,2969,
478.324,um^2,Surface,1,2970,
77.3313,um^2,Surface,1,2971,
115.364,um^2,Surface,1,2972,
140.461,um^2,Surface,1,2973,
226.355,um^2,Surface,1,2974,
99.1614,um^2,Surface,1,2975,
229.186,um^2,Surface,1,2976,
213.677,um^2,Surface,1,2977,
80.9342,um^2,Surface,1,2978,
55.3863,um^2,Surface,1,2979,
360.784,um^2,Surface,1,2980,
65.3692,um^2,Surface,1,2981,
67.8848,um^2,Surface,1,2982,
618.818,um^2,Surface,1,2983,
795.107,um^2,Surface,1,2984,
213.202,um^2,Surface,1,2985,
211.982,um^2,Surface,1,2986,
202.537,um^2,Surface,1,2987,
77.6393,um^2,Surface,1,2988,
266.127,um^2,Surface,1,2989,
174.11,um^2,Surface,1,2990,
122.697,um^2,Surface,1,2991,
754.03,um^2,Surface,1,2992,
212.469,um^2,Surface,1,2993,
67.2685,um^2,Surface,1,2994,
240.577,um^2,Surface,1,2995,
422.033,um^2,Surface,1,2996,
58.4384,um^2,Surface,1,2997,
88.4933,um^2,Surface,1,2998,
68.6198,um^2,Surface,1,2999,
583.084,um^2,Surface,1,3000,
650.844,um^2,Surface,1,3001,
126.709,um^2,Surface,1,3002,
727.089,um^2,Surface,1,3003,
67.8603,um^2,Surface,1,3004,
555.28,um^2,Surface,1,3005,
161.198,um^2,Surface,1,3006,
1913.08,um^2,Surface,1,3007,
258.234,um^2,Surface,1,3008,
1136.36,um^2,Surface,1,3009,
894.473,um^2,Surface,1,3010,
70.2801,um^2,Surface,1,3011,
198.832,um^2,Surface,1,3012,
296.257,um^2,Surface,1,3013,
411.32,um^2,Surface,1,3014,
233.26,um^2,Surface,1,3015,
430.358,um^2,Surface,1,3016,
100.751,um^2,Surface,1,3017,
73.4378,um^2,Surface,1,3018,
513.146,um^2,Surface,1,3019,
102.655,um^2,Surface,1,3020,
74.5168,um^2,Surface,1,3021,
1492.44,um^2,Surface,1,3022,
449.237,um^2,Surface,1,3023,
69.7292,um^2,Surface,1,3024,
80.793,um^2,Surface,1,3025,
646.025,um^2,Surface,1,3026,
199.517,um^2,Surface,1,3027,
1733,um^2,Surface,1,3028,
41.847,um^2,Surface,1,3029,
37.7251,um^2,Surface,1,3030,
396.011,um^2,Surface,1,3031,
307.09,um^2,Surface,1,3032,
149.469,um^2,Surface,1,3033,
84.9816,um^2,Surface,1,3034,
294.761,um^2,Surface,1,3035,
234.801,um^2,Surface,1,3036,
384.551,um^2,Surface,1,3037,
87.1161,um^2,Surface,1,3038,
122.671,um^2,Surface,1,3039,
431.23,um^2,Surface,1,3040,
359.869,um^2,Surface,1,3041,
740.385,um^2,Surface,1,3042,
888.97,um^2,Surface,1,3043,
125.952,um^2,Surface,1,3044,
53.4794,um^2,Surface,1,3045,
794.612,um^2,Surface,1,3046,
344.823,um^2,Surface,1,3047,
77.1731,um^2,Surface,1,3048,
910.568,um^2,Surface,1,3049,
437.975,um^2,Surface,1,3050,
139.775,um^2,Surface,1,3051,
3045.01,um^2,Surface,1,3052,
324.788,um^2,Surface,1,3053,
188.863,um^2,Surface,1,3054,
1429.54,um^2,Surface,1,3055,
331.888,um^2,Surface,1,3056,
335.907,um^2,Surface,1,3057,
201.705,um^2,Surface,1,3058,
149.291,um^2,Surface,1,3059,
93.3684,um^2,Surface,1,3060,
105.607,um^2,Surface,1,3061,
280.761,um^2,Surface,1,3062,
111.789,um^2,Surface,1,3063,
156.875,um^2,Surface,1,3064,
153.724,um^2,Surface,1,3065,
153.375,um^2,Surface,1,3066,
337.813,um^2,Surface,1,3067,
122.943,um^2,Surface,1,3068,
247.722,um^2,Surface,1,3069,
97.2034,um^2,Surface,1,3070,
102.322,um^2,Surface,1,3071,
61.1478,um^2,Surface,1,3072,
466.796,um^2,Surface,1,3073,
368.091,um^2,Surface,1,3074,
622.438,um^2,Surface,1,3075,
181.699,um^2,Surface,1,3076,
334.543,um^2,Surface,1,3077,
200.865,um^2,Surface,1,3078,
432.358,um^2,Surface,1,3079,
61.7681,um^2,Surface,1,3080,
586.785,um^2,Surface,1,3081,
36.7457,um^2,Surface,1,3082,
201.475,um^2,Surface,1,3083,
116.593,um^2,Surface,1,3084,
114.402,um^2,Surface,1,3085,
148.784,um^2,Surface,1,3086,
95.3654,um^2,Surface,1,3087,
203.978,um^2,Surface,1,3088,
1943.88,um^2,Surface,1,3089,
