
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
-1.66612e-06,-1,3.82274e-12,um,Surface,Ellipsoid Axis C,1,2620,
0.904574,0.426317,-1.44777e-14,um,Surface,Ellipsoid Axis C,1,2621,
0.51861,-0.855011,-5.12053e-12,um,Surface,Ellipsoid Axis C,1,2622,
-0.451802,0.892118,2.68598e-12,um,Surface,Ellipsoid Axis C,1,2623,
-0.170966,-0.985277,3.77981e-13,um,Surface,Ellipsoid Axis C,1,2624,
0.389029,0.921226,0,um,Surface,Ellipsoid Axis C,1,2625,
0.946353,0.323134,3.59562e-12,um,Surface,Ellipsoid Axis C,1,2626,
0.965265,0.261274,2.02485e-12,um,Surface,Ellipsoid Axis C,1,2627,
-0.546105,0.837717,-2.09115e-12,um,Surface,Ellipsoid Axis C,1,2628,
0.276784,0.960932,-2.18574e-12,um,Surface,Ellipsoid Axis C,1,2629,
-0.220355,-0.97542,2.03511e-12,um,Surface,Ellipsoid Axis C,1,2630,
0.999684,-0.0251248,-4.01373e-13,um,Surface,Ellipsoid Axis C,1,2631,
0.177356,0.984147,1.87414e-12,um,Surface,Ellipsoid Axis C,1,2632,
-0.473758,0.880655,0,um,Surface,Ellipsoid Axis C,1,2633,
-0.9852,0.171409,1.42725e-11,um,Surface,Ellipsoid Axis C,1,2634,
0.466174,-0.884693,1.79775e-13,um,Surface,Ellipsoid Axis C,1,2635,
0.999259,-0.0384847,3.80851e-12,um,Surface,Ellipsoid Axis C,1,2636,
0.357253,0.934008,1.47253e-12,um,Surface,Ellipsoid Axis C,1,2637,
0.988717,-0.149794,-3.14099e-12,um,Surface,Ellipsoid Axis C,1,2638,
0.799306,0.600924,-2.00079e-13,um,Surface,Ellipsoid Axis C,1,2639,
0.491524,-0.870864,4.2336e-13,um,Surface,Ellipsoid Axis C,1,2640,
0.870213,0.492676,1.49242e-12,um,Surface,Ellipsoid Axis C,1,2641,
-1,3.06869e-05,-2.63701e-12,um,Surface,Ellipsoid Axis C,1,2642,
0.92535,0.379114,-7.04665e-13,um,Surface,Ellipsoid Axis C,1,2643,
0.879845,-0.475261,-1.6144e-13,um,Surface,Ellipsoid Axis C,1,2644,
-0.27683,-0.960919,4.16597e-12,um,Surface,Ellipsoid Axis C,1,2645,
0.304873,-0.952393,-1.37068e-12,um,Surface,Ellipsoid Axis C,1,2646,
0.569471,-0.822011,5.68443e-12,um,Surface,Ellipsoid Axis C,1,2647,
-0.622345,-0.782743,2.54245e-12,um,Surface,Ellipsoid Axis C,1,2648,
0.27009,-0.962835,5.45548e-12,um,Surface,Ellipsoid Axis C,1,2649,
0.397097,0.917777,-6.03424e-13,um,Surface,Ellipsoid Axis C,1,2650,
0.998538,-0.0540562,9.50511e-13,um,Surface,Ellipsoid Axis C,1,2651,
-0.59269,-0.805431,-1.66904e-12,um,Surface,Ellipsoid Axis C,1,2652,
0.964876,-0.262704,-7.75239e-13,um,Surface,Ellipsoid Axis C,1,2653,
0.995787,-0.0916925,1.49194e-13,um,Surface,Ellipsoid Axis C,1,2654,
0.955903,0.293684,-9.04128e-13,um,Surface,Ellipsoid Axis C,1,2655,
0.922435,-0.386151,-9.29437e-13,um,Surface,Ellipsoid Axis C,1,2656,
0.295043,-0.955484,5.5528e-12,um,Surface,Ellipsoid Axis C,1,2657,
0.917594,-0.397518,-1.38037e-12,um,Surface,Ellipsoid Axis C,1,2658,
0.939609,0.342251,-8.87953e-13,um,Surface,Ellipsoid Axis C,1,2659,
0.56145,0.827511,-9.87366e-13,um,Surface,Ellipsoid Axis C,1,2660,
0.95865,-0.284586,-3.33952e-13,um,Surface,Ellipsoid Axis C,1,2661,
0.435491,0.900193,-1.21712e-12,um,Surface,Ellipsoid Axis C,1,2662,
-0.56,-0.828493,-3.41889e-12,um,Surface,Ellipsoid Axis C,1,2663,
0.898469,-0.439037,-2.75856e-13,um,Surface,Ellipsoid Axis C,1,2664,
0.728559,-0.684983,-6.66376e-13,um,Surface,Ellipsoid Axis C,1,2665,
-0.74678,-0.665071,1.5487e-12,um,Surface,Ellipsoid Axis C,1,2666,
0.998131,-0.0611028,0,um,Surface,Ellipsoid Axis C,1,2667,
0.742115,0.670272,-2.97033e-13,um,Surface,Ellipsoid Axis C,1,2668,
