
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
0.847605,-0.530628,-2.65325e-12,um,Surface,Ellipsoid Axis B,1,2594,
0.451824,0.892107,-6.97641e-12,um,Surface,Ellipsoid Axis B,1,2595,
-0.707095,-0.707119,-4.09889e-12,um,Surface,Ellipsoid Axis B,1,2596,
0.931255,-0.364368,2.16268e-12,um,Surface,Ellipsoid Axis B,1,2597,
-0.292329,-0.956318,-9.53058e-12,um,Surface,Ellipsoid Axis B,1,2598,
-0.977794,-0.20957,-5.14737e-12,um,Surface,Ellipsoid Axis B,1,2599,
0.873979,0.485964,-1.82225e-12,um,Surface,Ellipsoid Axis B,1,2600,
-1,2.04003e-05,-1.83294e-11,um,Surface,Ellipsoid Axis B,1,2601,
0.993111,-0.117179,-1.53266e-12,um,Surface,Ellipsoid Axis B,1,2602,
-0.996377,-0.0850509,7.81798e-12,um,Surface,Ellipsoid Axis B,1,2603,
0.638839,0.76934,5.71408e-12,um,Surface,Ellipsoid Axis B,1,2604,
-0.881262,-0.472628,1.67981e-11,um,Surface,Ellipsoid Axis B,1,2605,
-0.872073,-0.489377,-5.10715e-12,um,Surface,Ellipsoid Axis B,1,2606,
0.965593,0.26006,0,um,Surface,Ellipsoid Axis B,1,2607,
0.937614,-0.347679,0,um,Surface,Ellipsoid Axis B,1,2608,
0.820436,-0.571739,8.22425e-12,um,Surface,Ellipsoid Axis B,1,2609,
0.614996,-0.78853,2.06617e-11,um,Surface,Ellipsoid Axis B,1,2610,
1,-0.000143994,0,um,Surface,Ellipsoid Axis B,1,2611,
0.99512,-0.0986691,-3.98673e-13,um,Surface,Ellipsoid Axis B,1,2612,
0.164661,0.98635,0,um,Surface,Ellipsoid Axis B,1,2613,
-0.2918,-0.956479,-2.07846e-12,um,Surface,Ellipsoid Axis B,1,2614,
-0.876695,0.481047,-1.54176e-11,um,Surface,Ellipsoid Axis B,1,2615,
-0.187751,0.982217,-4.44823e-12,um,Surface,Ellipsoid Axis B,1,2616,
0.708788,-0.705421,-1.85129e-11,um,Surface,Ellipsoid Axis B,1,2617,
0.213196,0.977009,1.05347e-13,um,Surface,Ellipsoid Axis B,1,2618,
0.926977,-0.375119,-4.35876e-12,um,Surface,Ellipsoid Axis B,1,2619,
1,-1.66612e-06,-4.13349e-12,um,Surface,Ellipsoid Axis B,1,2620,
0.426317,-0.904574,-6.91313e-13,um,Surface,Ellipsoid Axis B,1,2621,
0.855011,0.51861,-1.16418e-11,um,Surface,Ellipsoid Axis B,1,2622,
0.892118,0.451802,-6.10878e-12,um,Surface,Ellipsoid Axis B,1,2623,
0.985277,-0.170966,-5.29846e-13,um,Surface,Ellipsoid Axis B,1,2624,
0.921226,-0.389029,0,um,Surface,Ellipsoid Axis B,1,2625,
-0.323134,0.946353,-5.34593e-12,um,Surface,Ellipsoid Axis B,1,2626,
0.261274,-0.965265,5.84702e-12,um,Surface,Ellipsoid Axis B,1,2627,
0.837717,0.546105,9.18868e-12,um,Surface,Ellipsoid Axis B,1,2628,
0.960932,-0.276784,8.44699e-13,um,Surface,Ellipsoid Axis B,1,2629,
-0.97542,0.220355,9.00606e-12,um,Surface,Ellipsoid Axis B,1,2630,
0.0251248,0.999684,-3.30827e-14,um,Surface,Ellipsoid Axis B,1,2631,
0.984147,-0.177356,-7.54791e-13,um,Surface,Ellipsoid Axis B,1,2632,
0.880655,0.473758,0,um,Surface,Ellipsoid Axis B,1,2633,
-0.171409,-0.9852,7.56347e-12,um,Surface,Ellipsoid Axis B,1,2634,
-0.884693,-0.466174,-6.56455e-13,um,Surface,Ellipsoid Axis B,1,2635,
-0.0384847,-0.999259,5.42573e-11,um,Surface,Ellipsoid Axis B,1,2636,
0.934008,-0.357253,-5.39865e-12,um,Surface,Ellipsoid Axis B,1,2637,
0.149794,0.988717,2.96251e-12,um,Surface,Ellipsoid Axis B,1,2638,
-0.600924,0.799306,-7.34518e-13,um,Surface,Ellipsoid Axis B,1,2639,
-0.870864,-0.491524,-8.82432e-12,um,Surface,Ellipsoid Axis B,1,2640,
0.492676,-0.870213,-8.74229e-12,um,Surface,Ellipsoid Axis B,1,2641,
-3.06869e-05,-1,-5.0829e-12,um,Surface,Ellipsoid Axis B,1,2642,
0.379114,-0.92535,2.10503e-12,um,Surface,Ellipsoid Axis B,1,2643,
0.475261,0.879845,9.49361e-15,um,Surface,Ellipsoid Axis B,1,2644,
0.960919,-0.27683,-6.05242e-12,um,Surface,Ellipsoid Axis B,1,2645,
-0.952393,-0.304873,-7.72527e-12,um,Surface,Ellipsoid Axis B,1,2646,
0.822011,0.569471,6.32964e-12,um,Surface,Ellipsoid Axis B,1,2647,
0.782743,-0.622345,-1.67522e-12,um,Surface,Ellipsoid Axis B,1,2648,
0.962835,0.27009,8.06376e-12,um,Surface,Ellipsoid Axis B,1,2649,
0.917777,-0.397097,-4.63953e-12,um,Surface,Ellipsoid Axis B,1,2650,
0.0540562,0.998538,-1.60911e-12,um,Surface,Ellipsoid Axis B,1,2651,
0.805431,-0.59269,2.71615e-12,um,Surface,Ellipsoid Axis B,1,2652,
-0.262704,-0.964876,4.51782e-12,um,Surface,Ellipsoid Axis B,1,2653,
0.0916925,0.995787,-1.81363e-12,um,Surface,Ellipsoid Axis B,1,2654,
0.293684,-0.955903,-9.94182e-12,um,Surface,Ellipsoid Axis B,1,2655,
0.386151,0.922435,1.83164e-11,um,Surface,Ellipsoid Axis B,1,2656,
0.955484,0.295043,-6.72219e-12,um,Surface,Ellipsoid Axis B,1,2657,
-0.397518,-0.917594,3.59955e-12,um,Surface,Ellipsoid Axis B,1,2658,
0.342251,-0.939609,-5.72226e-12,um,Surface,Ellipsoid Axis B,1,2659,
0.827511,-0.56145,1.81161e-12,um,Surface,Ellipsoid Axis B,1,2660,
0.284586,0.95865,7.23399e-13,um,Surface,Ellipsoid Axis B,1,2661,
0.900193,-0.435491,3.03531e-11,um,Surface,Ellipsoid Axis B,1,2662,
0.828493,-0.56,-4.54323e-12,um,Surface,Ellipsoid Axis B,1,2663,
-0.439037,-0.898469,1.22953e-11,um,Surface,Ellipsoid Axis B,1,2664,
-0.684983,-0.728559,1.46413e-11,um,Surface,Ellipsoid Axis B,1,2665,
0.665071,-0.74678,-1.05561e-12,um,Surface,Ellipsoid Axis B,1,2666,
0.0611028,0.998131,0,um,Surface,Ellipsoid Axis B,1,2667,
0.670272,-0.742115,3.97195e-12,um,Surface,Ellipsoid Axis B,1,2668,
0.11976,-0.992803,-1.84447e-11,um,Surface,Ellipsoid Axis B,1,2669,
0.816844,-0.576859,-2.16815e-12,um,Surface,Ellipsoid Axis B,1,2670,
-0.579463,0.814998,3.98767e-12,um,Surface,Ellipsoid Axis B,1,2671,
-0.163961,0.986467,7.00641e-13,um,Surface,Ellipsoid Axis B,1,2672,
0.478206,-0.878248,1.376e-12,um,Surface,Ellipsoid Axis B,1,2673,
0.0599299,0.998203,-2.10029e-12,um,Surface,Ellipsoid Axis B,1,2674,
-0.996526,0.0832841,-1.4368e-11,um,Surface,Ellipsoid Axis B,1,2675,
0.997684,-0.0680146,-6.16532e-11,um,Surface,Ellipsoid Axis B,1,2676,
0.707107,0.707107,0,um,Surface,Ellipsoid Axis B,1,2677,
0.991871,0.127245,-1.20438e-12,um,Surface,Ellipsoid Axis B,1,2678,
0.410827,-0.911713,-6.03419e-12,um,Surface,Ellipsoid Axis B,1,2679,
0.432742,-0.901518,7.707e-12,um,Surface,Ellipsoid Axis B,1,2680,
0.292655,-0.956218,3.45144e-14,um,Surface,Ellipsoid Axis B,1,2681,
-0.680739,0.732526,1.73018e-12,um,Surface,Ellipsoid Axis B,1,2682,
-0.997108,-0.0760039,9.01521e-12,um,Surface,Ellipsoid Axis B,1,2683,
-0.142776,-0.989755,-7.01395e-12,um,Surface,Ellipsoid Axis B,1,2684,
-0.167922,-0.9858,-4.29753e-12,um,Surface,Ellipsoid Axis B,1,2685,
0.415926,0.909398,7.37081e-12,um,Surface,Ellipsoid Axis B,1,2686,
0.844892,-0.534937,4.41627e-12,um,Surface,Ellipsoid Axis B,1,2687,
-0.41007,-0.912054,4.46906e-12,um,Surface,Ellipsoid Axis B,1,2688,
0.860929,-0.508726,4.39168e-11,um,Surface,Ellipsoid Axis B,1,2689,
0.49058,-0.871396,-3.67614e-12,um,Surface,Ellipsoid Axis B,1,2690,
0.033597,0.999435,-2.3522e-13,um,Surface,Ellipsoid Axis B,1,2691,
1,-2.49072e-06,-1.94725e-11,um,Surface,Ellipsoid Axis B,1,2692,
0.889742,-0.456464,-8.04352e-13,um,Surface,Ellipsoid Axis B,1,2693,
0.514498,0.857492,8.7714e-13,um,Surface,Ellipsoid Axis B,1,2694,
0.859537,-0.511073,-5.62825e-12,um,Surface,Ellipsoid Axis B,1,2695,
0.0175597,0.999846,-4.07766e-12,um,Surface,Ellipsoid Axis B,1,2696,
0.524243,-0.851569,4.27606e-12,um,Surface,Ellipsoid Axis B,1,2697,
-0.0839179,-0.996473,5.48407e-12,um,Surface,Ellipsoid Axis B,1,2698,
0.173251,-0.984878,1.8853e-12,um,Surface,Ellipsoid Axis B,1,2699,
-1,-2.60663e-07,9.26381e-12,um,Surface,Ellipsoid Axis B,1,2700,
0.0902578,0.995918,0,um,Surface,Ellipsoid Axis B,1,2701,
-0.461796,0.886986,5.45005e-12,um,Surface,Ellipsoid Axis B,1,2702,
-0.707108,-0.707106,-2.03758e-11,um,Surface,Ellipsoid Axis B,1,2703,
0.883031,0.469314,9.92306e-13,um,Surface,Ellipsoid Axis B,1,2704,
0.971987,0.235036,-1.92067e-12,um,Surface,Ellipsoid Axis B,1,2705,
0.120123,-0.992759,1.15325e-12,um,Surface,Ellipsoid Axis B,1,2706,
0.563593,-0.826053,-3.98074e-12,um,Surface,Ellipsoid Axis B,1,2707,
-0.489237,-0.872151,-1.44488e-12,um,Surface,Ellipsoid Axis B,1,2708,
