
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.79186,,Surface,1,2828,
0.877924,,Surface,1,2829,
0.88553,,Surface,1,2830,
0.657488,,Surface,1,2831,
0.776467,,Surface,1,2832,
0.72391,,Surface,1,2833,
0.785325,,Surface,1,2834,
0.819045,,Surface,1,2835,
0.779006,,Surface,1,2836,
0.848761,,Surface,1,2837,
0.629818,,Surface,1,2838,
0.818139,,Surface,1,2839,
0.769159,,Surface,1,2840,
0.873436,,Surface,1,2841,
0.697297,,Surface,1,2842,
0.727325,,Surface,1,2843,
0.865665,,Surface,1,2844,
0.762315,,Surface,1,2845,
0.777894,,Surface,1,2846,
0.654691,,Surface,1,2847,
0.654644,,Surface,1,2848,
0.790084,,Surface,1,2849,
0.822253,,Surface,1,2850,
0.563352,,Surface,1,2851,
0.782511,,Surface,1,2852,
0.762401,,Surface,1,2853,
0.822352,,Surface,1,2854,
0.758829,,Surface,1,2855,
0.567829,,Surface,1,2856,
0.744342,,Surface,1,2857,
0.657471,,Surface,1,2858,
0.785732,,Surface,1,2859,
0.785815,,Surface,1,2860,
0.876307,,Surface,1,2861,
0.768578,,Surface,1,2862,
0.847385,,Surface,1,2863,
0.802794,,Surface,1,2864,
0.792792,,Surface,1,2865,
0.780472,,Surface,1,2866,
0.646063,,Surface,1,2867,
0.721465,,Surface,1,2868,
0.865337,,Surface,1,2869,
0.793474,,Surface,1,2870,
0.887164,,Surface,1,2871,
0.756806,,Surface,1,2872,
0.80888,,Surface,1,2873,
0.781917,,Surface,1,2874,
0.865505,,Surface,1,2875,
0.820612,,Surface,1,2876,
0.679453,,Surface,1,2877,
0.805313,,Surface,1,2878,
0.860268,,Surface,1,2879,
0.721537,,Surface,1,2880,
0.800306,,Surface,1,2881,
0.771855,,Surface,1,2882,
0.87101,,Surface,1,2883,
0.730518,,Surface,1,2884,
0.624274,,Surface,1,2885,
0.819286,,Surface,1,2886,
0.803976,,Surface,1,2887,
0.655418,,Surface,1,2888,
0.868174,,Surface,1,2889,
0.862566,,Surface,1,2890,
0.846573,,Surface,1,2891,
0.816858,,Surface,1,2892,
0.854111,,Surface,1,2893,
0.878673,,Surface,1,2894,
0.617911,,Surface,1,2895,
0.749379,,Surface,1,2896,
0.771048,,Surface,1,2897,
0.877169,,Surface,1,2898,
0.591781,,Surface,1,2899,
0.664238,,Surface,1,2900,
0.723348,,Surface,1,2901,
0.567823,,Surface,1,2902,
0.818115,,Surface,1,2903,
0.621527,,Surface,1,2904,
0.687066,,Surface,1,2905,
0.842716,,Surface,1,2906,
0.601519,,Surface,1,2907,
0.820444,,Surface,1,2908,
0.765106,,Surface,1,2909,
0.816596,,Surface,1,2910,
0.665974,,Surface,1,2911,
0.810308,,Surface,1,2912,
0.596671,,Surface,1,2913,
0.467143,,Surface,1,2914,
0.837284,,Surface,1,2915,
0.726577,,Surface,1,2916,
0.645645,,Surface,1,2917,
0.726729,,Surface,1,2918,
0.845378,,Surface,1,2919,
0.699157,,Surface,1,2920,
0.605154,,Surface,1,2921,
0.710663,,Surface,1,2922,
0.81591,,Surface,1,2923,
0.567372,,Surface,1,2924,
0.640469,,Surface,1,2925,
0.856449,,Surface,1,2926,
0.600767,,Surface,1,2927,
0.594511,,Surface,1,2928,
0.806295,,Surface,1,2929,
