
Intensity Center Ch=5 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
111,,Surface,5,Image 1,1,2684,
107,,Surface,5,Image 1,1,2685,
105,,Surface,5,Image 1,1,2686,
144,,Surface,5,Image 1,1,2687,
144,,Surface,5,Image 1,1,2688,
94,,Surface,5,Image 1,1,2689,
151,,Surface,5,Image 1,1,2690,
108,,Surface,5,Image 1,1,2691,
113,,Surface,5,Image 1,1,2692,
98,,Surface,5,Image 1,1,2693,
118,,Surface,5,Image 1,1,2694,
139,,Surface,5,Image 1,1,2695,
117,,Surface,5,Image 1,1,2696,
137,,Surface,5,Image 1,1,2697,
118,,Surface,5,Image 1,1,2698,
128,,Surface,5,Image 1,1,2699,
99,,Surface,5,Image 1,1,2700,
109,,Surface,5,Image 1,1,2701,
139,,Surface,5,Image 1,1,2702,
128,,Surface,5,Image 1,1,2703,
127,,Surface,5,Image 1,1,2704,
125,,Surface,5,Image 1,1,2705,
134,,Surface,5,Image 1,1,2706,
138,,Surface,5,Image 1,1,2707,
143,,Surface,5,Image 1,1,2708,
148,,Surface,5,Image 1,1,2709,
90,,Surface,5,Image 1,1,2710,
129,,Surface,5,Image 1,1,2711,
87,,Surface,5,Image 1,1,2712,
108,,Surface,5,Image 1,1,2713,
114,,Surface,5,Image 1,1,2714,
130,,Surface,5,Image 1,1,2715,
77,,Surface,5,Image 1,1,2716,
113,,Surface,5,Image 1,1,2717,
134,,Surface,5,Image 1,1,2718,
71,,Surface,5,Image 1,1,2719,
95,,Surface,5,Image 1,1,2720,
105,,Surface,5,Image 1,1,2721,
104,,Surface,5,Image 1,1,2722,
108,,Surface,5,Image 1,1,2723,
105,,Surface,5,Image 1,1,2724,
101,,Surface,5,Image 1,1,2725,
99,,Surface,5,Image 1,1,2726,
110,,Surface,5,Image 1,1,2727,
138,,Surface,5,Image 1,1,2728,
157,,Surface,5,Image 1,1,2729,
144,,Surface,5,Image 1,1,2730,
87,,Surface,5,Image 1,1,2731,
155,,Surface,5,Image 1,1,2732,
119,,Surface,5,Image 1,1,2733,
124,,Surface,5,Image 1,1,2734,
128,,Surface,5,Image 1,1,2735,
147,,Surface,5,Image 1,1,2736,
118,,Surface,5,Image 1,1,2737,
120,,Surface,5,Image 1,1,2738,
139,,Surface,5,Image 1,1,2739,
102,,Surface,5,Image 1,1,2740,
113,,Surface,5,Image 1,1,2741,
123,,Surface,5,Image 1,1,2742,
111,,Surface,5,Image 1,1,2743,
74,,Surface,5,Image 1,1,2744,
138,,Surface,5,Image 1,1,2745,
122,,Surface,5,Image 1,1,2746,
103,,Surface,5,Image 1,1,2747,
111,,Surface,5,Image 1,1,2748,
118,,Surface,5,Image 1,1,2749,
117,,Surface,5,Image 1,1,2750,
99,,Surface,5,Image 1,1,2751,
112,,Surface,5,Image 1,1,2752,
133,,Surface,5,Image 1,1,2753,
72,,Surface,5,Image 1,1,2754,
130,,Surface,5,Image 1,1,2755,
140,,Surface,5,Image 1,1,2756,
83,,Surface,5,Image 1,1,2757,
137,,Surface,5,Image 1,1,2758,
148,,Surface,5,Image 1,1,2759,
128,,Surface,5,Image 1,1,2760,
154,,Surface,5,Image 1,1,2761,
138,,Surface,5,Image 1,1,2762,
108,,Surface,5,Image 1,1,2763,
140,,Surface,5,Image 1,1,2764,
127,,Surface,5,Image 1,1,2765,
139,,Surface,5,Image 1,1,2766,
130,,Surface,5,Image 1,1,2767,
127,,Surface,5,Image 1,1,2768,
126,,Surface,5,Image 1,1,2769,
105,,Surface,5,Image 1,1,2770,
104,,Surface,5,Image 1,1,2771,
130,,Surface,5,Image 1,1,2772,
128,,Surface,5,Image 1,1,2773,
180,,Surface,5,Image 1,1,2774,
136,,Surface,5,Image 1,1,2775,
133,,Surface,5,Image 1,1,2776,
142,,Surface,5,Image 1,1,2777,
121,,Surface,5,Image 1,1,2778,
138,,Surface,5,Image 1,1,2779,
120,,Surface,5,Image 1,1,2780,
122,,Surface,5,Image 1,1,2781,
129,,Surface,5,Image 1,1,2782,
136,,Surface,5,Image 1,1,2783,
106,,Surface,5,Image 1,1,2784,
94,,Surface,5,Image 1,1,2785,
120,,Surface,5,Image 1,1,2786,
95,,Surface,5,Image 1,1,2787,
134,,Surface,5,Image 1,1,2788,
128,,Surface,5,Image 1,1,2789,
122,,Surface,5,Image 1,1,2790,
121,,Surface,5,Image 1,1,2791,
133,,Surface,5,Image 1,1,2792,
143,,Surface,5,Image 1,1,2793,
93,,Surface,5,Image 1,1,2794,
125,,Surface,5,Image 1,1,2795,
129,,Surface,5,Image 1,1,2796,
115,,Surface,5,Image 1,1,2797,
141,,Surface,5,Image 1,1,2798,
107,,Surface,5,Image 1,1,2799,
145,,Surface,5,Image 1,1,2800,
141,,Surface,5,Image 1,1,2801,
131,,Surface,5,Image 1,1,2802,
125,,Surface,5,Image 1,1,2803,
137,,Surface,5,Image 1,1,2804,
143,,Surface,5,Image 1,1,2805,
132,,Surface,5,Image 1,1,2806,
131,,Surface,5,Image 1,1,2807,
134,,Surface,5,Image 1,1,2808,
130,,Surface,5,Image 1,1,2809,
134,,Surface,5,Image 1,1,2810,
129,,Surface,5,Image 1,1,2811,
120,,Surface,5,Image 1,1,2812,
113,,Surface,5,Image 1,1,2813,
125,,Surface,5,Image 1,1,2814,
112,,Surface,5,Image 1,1,2815,
119,,Surface,5,Image 1,1,2816,
129,,Surface,5,Image 1,1,2817,
145,,Surface,5,Image 1,1,2818,
134,,Surface,5,Image 1,1,2819,
109,,Surface,5,Image 1,1,2820,
140,,Surface,5,Image 1,1,2821,
147,,Surface,5,Image 1,1,2822,
110,,Surface,5,Image 1,1,2823,
133,,Surface,5,Image 1,1,2824,
149,,Surface,5,Image 1,1,2825,
146,,Surface,5,Image 1,1,2826,
132,,Surface,5,Image 1,1,2827,
94,,Surface,5,Image 1,1,2828,
133,,Surface,5,Image 1,1,2829,
136,,Surface,5,Image 1,1,2830,
104,,Surface,5,Image 1,1,2831,
106,,Surface,5,Image 1,1,2832,
98,,Surface,5,Image 1,1,2833,
121,,Surface,5,Image 1,1,2834,
108,,Surface,5,Image 1,1,2835,
111,,Surface,5,Image 1,1,2836,
138,,Surface,5,Image 1,1,2837,
126,,Surface,5,Image 1,1,2838,
135,,Surface,5,Image 1,1,2839,
135,,Surface,5,Image 1,1,2840,
121,,Surface,5,Image 1,1,2841,
128,,Surface,5,Image 1,1,2842,
139,,Surface,5,Image 1,1,2843,
111,,Surface,5,Image 1,1,2844,
111,,Surface,5,Image 1,1,2845,
138,,Surface,5,Image 1,1,2846,
120,,Surface,5,Image 1,1,2847,
134,,Surface,5,Image 1,1,2848,
113,,Surface,5,Image 1,1,2849,
152,,Surface,5,Image 1,1,2850,
84,,Surface,5,Image 1,1,2851,
139,,Surface,5,Image 1,1,2852,
112,,Surface,5,Image 1,1,2853,
120,,Surface,5,Image 1,1,2854,
123,,Surface,5,Image 1,1,2855,
115,,Surface,5,Image 1,1,2856,
128,,Surface,5,Image 1,1,2857,
139,,Surface,5,Image 1,1,2858,
130,,Surface,5,Image 1,1,2859,
124,,Surface,5,Image 1,1,2860,
118,,Surface,5,Image 1,1,2861,
129,,Surface,5,Image 1,1,2862,
102,,Surface,5,Image 1,1,2863,
135,,Surface,5,Image 1,1,2864,
107,,Surface,5,Image 1,1,2865,
136,,Surface,5,Image 1,1,2866,
179,,Surface,5,Image 1,1,2867,
124,,Surface,5,Image 1,1,2868,
153,,Surface,5,Image 1,1,2869,
132,,Surface,5,Image 1,1,2870,
109,,Surface,5,Image 1,1,2871,
143,,Surface,5,Image 1,1,2872,
133,,Surface,5,Image 1,1,2873,
124,,Surface,5,Image 1,1,2874,
142,,Surface,5,Image 1,1,2875,
117,,Surface,5,Image 1,1,2876,
139,,Surface,5,Image 1,1,2877,
106,,Surface,5,Image 1,1,2878,
129,,Surface,5,Image 1,1,2879,
173,,Surface,5,Image 1,1,2880,
105,,Surface,5,Image 1,1,2881,
127,,Surface,5,Image 1,1,2882,
128,,Surface,5,Image 1,1,2883,
126,,Surface,5,Image 1,1,2884,
103,,Surface,5,Image 1,1,2885,
124,,Surface,5,Image 1,1,2886,
124,,Surface,5,Image 1,1,2887,
115,,Surface,5,Image 1,1,2888,
105,,Surface,5,Image 1,1,2889,
114,,Surface,5,Image 1,1,2890,
116,,Surface,5,Image 1,1,2891,
102,,Surface,5,Image 1,1,2892,
115,,Surface,5,Image 1,1,2893,
126,,Surface,5,Image 1,1,2894,
148,,Surface,5,Image 1,1,2895,
93,,Surface,5,Image 1,1,2896,
87,,Surface,5,Image 1,1,2897,
72,,Surface,5,Image 1,1,2898,
134,,Surface,5,Image 1,1,2899,
133,,Surface,5,Image 1,1,2900,
139,,Surface,5,Image 1,1,2901,
97,,Surface,5,Image 1,1,2902,
146,,Surface,5,Image 1,1,2903,
126,,Surface,5,Image 1,1,2904,
109,,Surface,5,Image 1,1,2905,
140,,Surface,5,Image 1,1,2906,
118,,Surface,5,Image 1,1,2907,
132,,Surface,5,Image 1,1,2908,
130,,Surface,5,Image 1,1,2909,
117,,Surface,5,Image 1,1,2910,
109,,Surface,5,Image 1,1,2911,
104,,Surface,5,Image 1,1,2912,
101,,Surface,5,Image 1,1,2913,
100,,Surface,5,Image 1,1,2914,
122,,Surface,5,Image 1,1,2915,
125,,Surface,5,Image 1,1,2916,
121,,Surface,5,Image 1,1,2917,
126,,Surface,5,Image 1,1,2918,
119,,Surface,5,Image 1,1,2919,
90,,Surface,5,Image 1,1,2920,
118,,Surface,5,Image 1,1,2921,
110,,Surface,5,Image 1,1,2922,
130,,Surface,5,Image 1,1,2923,
167,,Surface,5,Image 1,1,2924,
146,,Surface,5,Image 1,1,2925,
110,,Surface,5,Image 1,1,2926,
107,,Surface,5,Image 1,1,2927,
122,,Surface,5,Image 1,1,2928,
114,,Surface,5,Image 1,1,2929,
101,,Surface,5,Image 1,1,2930,
116,,Surface,5,Image 1,1,2931,
126,,Surface,5,Image 1,1,2932,
111,,Surface,5,Image 1,1,2933,
135,,Surface,5,Image 1,1,2934,
124,,Surface,5,Image 1,1,2935,
132,,Surface,5,Image 1,1,2936,
138,,Surface,5,Image 1,1,2937,
98,,Surface,5,Image 1,1,2938,
99,,Surface,5,Image 1,1,2939,
128,,Surface,5,Image 1,1,2940,
111,,Surface,5,Image 1,1,2941,
93,,Surface,5,Image 1,1,2942,
132,,Surface,5,Image 1,1,2943,
81,,Surface,5,Image 1,1,2944,
132,,Surface,5,Image 1,1,2945,
123,,Surface,5,Image 1,1,2946,
112,,Surface,5,Image 1,1,2947,
116,,Surface,5,Image 1,1,2948,
125,,Surface,5,Image 1,1,2949,
96,,Surface,5,Image 1,1,2950,
140,,Surface,5,Image 1,1,2951,
126,,Surface,5,Image 1,1,2952,
122,,Surface,5,Image 1,1,2953,
132,,Surface,5,Image 1,1,2954,
125,,Surface,5,Image 1,1,2955,
134,,Surface,5,Image 1,1,2956,
130,,Surface,5,Image 1,1,2957,
121,,Surface,5,Image 1,1,2958,
127,,Surface,5,Image 1,1,2959,
126,,Surface,5,Image 1,1,2960,
131,,Surface,5,Image 1,1,2961,
118,,Surface,5,Image 1,1,2962,
138,,Surface,5,Image 1,1,2963,
106,,Surface,5,Image 1,1,2964,
120,,Surface,5,Image 1,1,2965,
129,,Surface,5,Image 1,1,2966,
106,,Surface,5,Image 1,1,2967,
136,,Surface,5,Image 1,1,2968,
111,,Surface,5,Image 1,1,2969,
109,,Surface,5,Image 1,1,2970,
113,,Surface,5,Image 1,1,2971,
112,,Surface,5,Image 1,1,2972,
135,,Surface,5,Image 1,1,2973,
103,,Surface,5,Image 1,1,2974,
118,,Surface,5,Image 1,1,2975,
145,,Surface,5,Image 1,1,2976,
112,,Surface,5,Image 1,1,2977,
141,,Surface,5,Image 1,1,2978,
125,,Surface,5,Image 1,1,2979,
112,,Surface,5,Image 1,1,2980,
149,,Surface,5,Image 1,1,2981,
90,,Surface,5,Image 1,1,2982,
135,,Surface,5,Image 1,1,2983,
153,,Surface,5,Image 1,1,2984,
121,,Surface,5,Image 1,1,2985,
129,,Surface,5,Image 1,1,2986,
108,,Surface,5,Image 1,1,2987,
103,,Surface,5,Image 1,1,2988,
114,,Surface,5,Image 1,1,2989,
113,,Surface,5,Image 1,1,2990,
109,,Surface,5,Image 1,1,2991,
105,,Surface,5,Image 1,1,2992,
148,,Surface,5,Image 1,1,2993,
113,,Surface,5,Image 1,1,2994,
141,,Surface,5,Image 1,1,2995,
123,,Surface,5,Image 1,1,2996,
91,,Surface,5,Image 1,1,2997,
88,,Surface,5,Image 1,1,2998,
125,,Surface,5,Image 1,1,2999,
163,,Surface,5,Image 1,1,3000,
159,,Surface,5,Image 1,1,3001,
109,,Surface,5,Image 1,1,3002,
137,,Surface,5,Image 1,1,3003,
120,,Surface,5,Image 1,1,3004,
144,,Surface,5,Image 1,1,3005,
133,,Surface,5,Image 1,1,3006,
130,,Surface,5,Image 1,1,3007,
106,,Surface,5,Image 1,1,3008,
140,,Surface,5,Image 1,1,3009,
115,,Surface,5,Image 1,1,3010,
94,,Surface,5,Image 1,1,3011,
129,,Surface,5,Image 1,1,3012,
142,,Surface,5,Image 1,1,3013,
145,,Surface,5,Image 1,1,3014,
129,,Surface,5,Image 1,1,3015,
111,,Surface,5,Image 1,1,3016,
122,,Surface,5,Image 1,1,3017,
118,,Surface,5,Image 1,1,3018,
118,,Surface,5,Image 1,1,3019,
94,,Surface,5,Image 1,1,3020,
109,,Surface,5,Image 1,1,3021,
134,,Surface,5,Image 1,1,3022,
125,,Surface,5,Image 1,1,3023,
133,,Surface,5,Image 1,1,3024,
