Area, CD68/CD163405S, HLA-DR488, CD45568, Hematoxylin, Position X, Position Y, Sphericity, Volume
101.643, 45.1702, 12.3191, 14.2234, 157.032, 102660, 34053.5, 0.74563, 62.0405
495.237, 59.7144, 39.3721, 18.0183, 148.387, 102698, 34041.8, 0.503327, 370.057
164.085, 43.9613, 14.5211, 21.7324, 154.933, 102707, 34059.8, 0.60305, 92.5565
84.2101, 53.4527, 35.1149, 9.88513, 149.764, 102663, 34123.3, 0.786613, 50.6946
142.51, 40.0809, 53.0257, 13.7794, 145.449, 102325, 33790.9, 0.705227, 94.7401
111.233, 47.7356, 46.6779, 11.1298, 145.933, 102335, 33791.1, 0.747177, 71.2454
56.9715, 40.71, 11.67, 12.04, 148.4, 102299, 33831.4, 0.829131, 30.5277
420.037, 62.4616, 28.8772, 9.66228, 146.035, 102324, 33823.2, 0.548458, 328.791
281.152, 59.5688, 29.7736, 13.5924, 139.226, 102364, 33797, 0.585045, 198.367
435.567, 86.8892, 19.2563, 8.8038, 151.955, 102350, 33751.2, 0.5419, 340.985
101.898, 50.9149, 14.0106, 11.2234, 151.846, 102300, 33800.2, 0.758037, 63.8347
245.219, 51.8463, 21.3586, 12.0697, 142.645, 102313, 33801, 0.602891, 169.03
148.957, 42.3801, 23.2021, 8.38356, 150.267, 102278, 33833, 0.692825, 98.5829
198.369, 65.9706, 19.0613, 25.299, 146.012, 102292, 33736, 0.666344, 142.9
144.98, 64.4143, 19.6071, 23.1143, 148.557, 102303, 33775.1, 0.705803, 97.3332
102.929, 43.8125, 12.5938, 12.8958, 135.094, 102338, 33742.7, 0.758253, 64.8334
96.2424, 43.7784, 17.8807, 10.2898, 142.966, 102291, 33622.7, 0.757591, 58.5431
461.689, 59.5617, 29.3971, 11.57, 144.763, 102301, 33629.6, 0.519446, 349.227
73.3109, 38.4375, 32.4531, 10.1797, 126.977, 102214, 33737.7, 0.78827, 41.3084
201.765, 48.6881, 22.183, 15.0825, 145.897, 102242, 33724.2, 0.623991, 132.834
56.1113, 41.5313, 15.4479, 10.3021, 138.708, 102312, 33672.5, 0.841799, 30.5255
108.567, 51.049, 59.4314, 11.4118, 140.402, 102262, 33732.3, 0.751976, 69.3629
86.3416, 45.0449, 25.4808, 12.7564, 147.981, 102239, 33756.5, 0.778081, 51.7775
196.382, 49.4086, 26.422, 6.19624, 138.925, 102315, 33585.6, 0.627071, 128.499
229.514, 48.3877, 41.6504, 12.9386, 133.352, 102213, 33702.4, 0.636397, 165.989
76.4496, 43.1691, 41.7868, 6.94853, 144.449, 102274, 33553.2, 0.801019, 45.061
169.768, 44.5941, 53.5794, 7.97353, 145.262, 102295, 33541.1, 0.687225, 118.497
185.117, 57.525, 19, 17.5778, 139.842, 102313, 33535.5, 0.64854, 123.694
118.045, 51.2982, 42.3158, 7.95614, 150.833, 102321, 33524.7, 0.743813, 77.364
106.966, 38.22, 35.485, 12.25, 145.25, 102291, 33565.5, 0.744661, 66.8464
571.046, 63.6697, 20.0828, 15.1093, 147.82, 102267, 33476.1, 0.483308, 431.138
91.8335, 39.1037, 21.7622, 22.3293, 130.537, 102288, 33448.9, 0.760397, 54.8702
267.831, 58.6195, 14.0588, 25.318, 154.713, 102327, 33432.4, 0.604851, 193.882
78.7224, 47.8857, 16.3357, 18.3643, 155.236, 102293, 33496.6, 0.800135, 47.0074
471.247, 79.003, 23.4812, 16.499, 148.118, 102320, 33375.9, 0.528542, 369.629
71.4926, 46.4677, 15.3548, 13.4435, 156.806, 102294, 33394, 0.807521, 41.2474
91.8729, 47.6548, 20.6667, 16.4226, 155.351, 102351, 33341.8, 0.776186, 56.6244
121.082, 41.6754, 33.8904, 10.7763, 152.5, 102339, 33369.9, 0.713787, 75.5521
151.898, 48.0135, 14.1554, 7.51014, 153.591, 102333, 33378.6, 0.701918, 103.521
89.6692, 39.1463, 12.8598, 16.5671, 154.713, 102348, 33322.8, 0.774056, 54.3747
324.889, 59.3899, 32.933, 13.0655, 146.677, 102307, 33374.5, 0.579786, 243.095
166.809, 46.0545, 22.6923, 21.2596, 152.946, 102318, 33287.3, 0.664947, 109.846
156.183, 60.4831, 20.2872, 21.0135, 153.963, 102325, 33286.1, 0.693802, 106.066
181.457, 42.2753, 15.2837, 28.3371, 154.211, 102313, 33309.7, 0.659586, 123.123
209.647, 40.325, 42.0825, 11.015, 151.803, 102292, 33356, 0.610849, 136.273
151.813, 76.4583, 18.4167, 12.9757, 157.267, 102336, 33318.6, 0.693418, 101.562
273.687, 61.3662, 21.257, 13.6426, 151.217, 102294, 33369.1, 0.614613, 205.143
109.871, 69.025, 15.82, 8.455, 153.965, 102333, 33325.6, 0.738258, 68.6929
