
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
102315,33585.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,403,
102213,33702,0.5,um,Surface,2,Center of Image Mass,Image 1,1,404,
102274,33553.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,405,
102295,33541.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,406,
102313,33535.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,407,
102321,33524.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,408,
102291,33565.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,409,
102268,33475.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,410,
102288,33448.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,411,
102327,33432.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,412,
102293,33496.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,413,
102321,33375.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,414,
102294,33394.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,415,
102351,33341.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,416,
102339,33369.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,417,
102333,33378.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,418,
102348,33322.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,419,
102306,33373.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,420,
102317,33287.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,421,
102326,33286.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,422,
102313,33309.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,423,
102294,33356,0.5,um,Surface,2,Center of Image Mass,Image 1,1,424,
102336,33318.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,425,
102294,33369.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,426,
102334,33325.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,427,
